test_id,operator,technology,circle,download_speed,upload_speed,signal_strength,latency_ms,test_date,latitude,longitude
TEST_009490,airtel,5G,Hyderabad,142.94,18.58,-83.72,38.4,2026-03-26,32.048254,87.865661
TEST_009491,airtel,4G,Pune,19.35,4.2,-106.34,43.93,2026-03-27,19.226301,79.72399
TEST_009492,airtel,4G,Chennai,25.6,6.11,-61.8,49.28,2026-04-08,17.094995,73.14503
TEST_009493,jio,4G,Bangalore,15.67,10.76,-60.09,60.94,2026-04-11,27.23432,91.260213
TEST_009494,vi,5G,Jaipur,53.91,24.89,-94.5,36.43,2026-03-24,31.068339,84.676427
TEST_009495,vi,4G,Lucknow,19.46,7.69,-85.57,50.75,2026-04-02,24.690494,79.377234
TEST_009496,airtel,5G,Ahmedabad,54.06,25.04,-111.75,57.92,2026-05-10,14.717283,85.956518
TEST_009497,jio,4G,Hyderabad,17.13,8.29,-98.43,71.35,2026-05-25,25.007876,68.003453
TEST_009498,airtel,4G,Pune,25.74,6.66,-80.14,75.4,2026-04-25,16.075874,72.022666
TEST_009499,airtel,5G,Delhi,82.92,24.54,-94.02,47.42,2026-03-06,12.355792,75.316111
TEST_009500,vi,4G,Ahmedabad,24.52,3.97,-98.51,54.02,2026-03-02,32.738434,80.671283
TEST_009501,jio,4G,Hyderabad,20.98,8.36,-80.02,50.95,2026-04-21,13.511122,81.928567
TEST_009502,jio,5G,Mumbai,85.14,23.29,-78.8,38.88,2026-05-13,11.220754,70.861719
TEST_009503,vi,5G,Mumbai,79.14,13.2,-93.04,41.2,2026-03-17,18.651736,84.945808
TEST_009504,jio,5G,Pune,89.93,29.67,-76.18,42.11,2026-04-08,12.679688,94.111731
TEST_009505,jio,5G,Delhi,114.37,32.96,-80.0,59.9,2026-04-03,27.15794,94.351999
TEST_009506,airtel,5G,Chennai,73.34,16.53,-67.66,45.44,2026-04-23,22.270767,94.442782
TEST_009507,vi,5G,Ahmedabad,49.41,25.16,-96.59,44.62,2026-05-01,26.455214,78.916349
TEST_009508,airtel,5G,Bangalore,86.02,19.99,-87.36,46.58,2026-05-30,13.445525,92.984889
TEST_009509,vi,4G,Delhi,16.87,4.43,-60.0,38.43,2026-03-27,14.176755,81.669217
TEST_009510,vi,4G,Jaipur,17.87,4.01,-106.4,38.74,2026-03-13,31.236123,68.032672
TEST_009511,vi,5G,Pune,70.72,19.57,-90.7,41.32,2026-03-16,24.884758,78.774608
TEST_009512,vi,5G,Kolkata,60.15,15.44,-114.0,36.76,2026-05-19,10.632636,83.121912
TEST_009513,airtel,5G,Delhi,102.5,27.3,-72.01,42.53,2026-04-15,19.829151,71.449128
TEST_009514,vi,4G,Pune,12.25,5.34,-78.16,36.35,2026-03-27,23.252247,84.328505
TEST_009515,vi,4G,Hyderabad,25.83,7.42,-87.87,44.03,2026-04-20,8.818975,79.724472
TEST_009516,jio,5G,Bangalore,113.8,14.69,-83.62,51.61,2026-05-12,16.774792,79.31122
TEST_009517,jio,4G,Kolkata,14.24,9.06,-75.24,42.28,2026-05-12,33.580823,78.711013
TEST_009518,vi,4G,Hyderabad,19.81,6.41,-87.15,66.92,2026-05-19,32.649359,72.424675
TEST_009519,airtel,4G,Hyderabad,21.95,5.02,-103.11,59.09,2026-05-10,22.131062,90.311957
TEST_009520,airtel,4G,Mumbai,18.53,6.73,-67.91,60.25,2026-03-25,9.535702,87.696724
TEST_009521,airtel,5G,Chennai,100.45,16.87,-87.28,47.08,2026-03-10,10.193844,69.379453
TEST_009522,jio,4G,Ahmedabad,21.43,11.3,-60.01,42.69,2026-05-23,11.891274,74.56197
TEST_009523,vi,5G,Jaipur,65.76,16.19,-65.1,35.98,2026-05-21,24.05185,77.255592
TEST_009524,vi,4G,Delhi,18.65,5.73,-87.66,38.6,2026-05-15,25.531571,95.483443
TEST_009525,airtel,4G,Mumbai,27.02,7.46,-88.82,44.49,2026-03-19,13.516045,90.103148
TEST_009526,airtel,4G,Chennai,18.76,8.25,-93.98,36.41,2026-03-29,14.28065,83.146401
TEST_009527,jio,4G,Hyderabad,27.62,8.63,-88.77,50.99,2026-05-29,11.359088,74.750657
TEST_009528,vi,5G,Lucknow,53.08,11.98,-94.41,73.12,2026-04-30,33.741762,74.822095
TEST_009529,vi,4G,Ahmedabad,23.21,6.19,-74.92,49.99,2026-04-26,23.436253,81.097822
TEST_009530,vi,4G,Ahmedabad,11.18,7.44,-96.33,73.83,2026-04-01,18.962025,85.774852
TEST_009531,jio,4G,Kolkata,22.38,3.17,-77.4,60.33,2026-05-15,29.570561,90.674606
TEST_009532,airtel,4G,Pune,30.28,4.15,-82.41,40.22,2026-04-08,15.160499,75.286112
TEST_009533,airtel,5G,Jaipur,47.41,24.58,-98.19,50.27,2026-04-28,15.581083,68.661871
TEST_009534,jio,4G,Pune,31.56,8.08,-82.74,45.74,2026-04-18,22.779417,76.66389
TEST_009535,vi,5G,Jaipur,82.8,18.83,-78.06,53.76,2026-05-12,25.203333,71.454115
TEST_009536,vi,5G,Jaipur,64.36,15.52,-91.59,63.42,2026-03-19,9.410041,91.602997
TEST_009537,jio,4G,Jaipur,22.48,6.07,-65.01,43.47,2026-03-27,8.282715,68.131809
TEST_009538,jio,4G,Kolkata,17.86,7.02,-70.65,36.83,2026-05-14,11.34993,76.108142
TEST_009539,vi,4G,Delhi,16.49,6.42,-91.4,41.94,2026-03-10,27.621014,85.723264
TEST_009540,airtel,4G,Lucknow,17.61,10.28,-86.51,47.44,2026-03-25,8.59204,77.453012
TEST_009541,airtel,5G,Mumbai,67.41,22.31,-94.91,50.01,2026-05-13,34.865396,69.478327
TEST_009542,airtel,4G,Kolkata,23.78,5.6,-77.9,62.55,2026-03-22,20.348495,91.121888
TEST_009543,jio,4G,Lucknow,26.18,6.6,-119.18,39.96,2026-03-19,27.772486,75.867153
TEST_009544,jio,5G,Kolkata,54.48,25.22,-93.69,76.68,2026-03-12,26.876844,84.573276
TEST_009545,jio,5G,Pune,68.28,27.57,-95.24,40.78,2026-03-08,22.549511,82.734504
TEST_009546,jio,5G,Hyderabad,67.72,20.32,-66.63,95.69,2026-03-30,11.716016,82.166214
TEST_009547,airtel,4G,Chennai,25.75,8.15,-63.67,42.89,2026-04-10,21.517793,86.612468
TEST_009548,jio,4G,Delhi,37.36,11.73,-76.98,38.43,2026-04-30,19.505854,72.444605
TEST_009549,vi,5G,Pune,40.17,8.76,-85.86,40.63,2026-05-16,15.497048,88.124238
TEST_009550,airtel,4G,Bangalore,17.86,7.34,-90.34,57.3,2026-05-07,17.797836,90.469288
TEST_009551,airtel,5G,Chennai,64.02,12.57,-115.29,50.51,2026-05-06,10.051595,90.370647
TEST_009552,airtel,5G,Pune,82.56,16.45,-75.79,50.85,2026-04-25,19.49518,82.012096
TEST_009553,jio,4G,Ahmedabad,21.43,3.16,-106.36,44.41,2026-03-22,27.169581,85.353591
TEST_009554,jio,4G,Delhi,30.51,7.12,-92.75,44.38,2026-05-17,26.168728,94.317252
TEST_009555,vi,5G,Jaipur,109.17,18.71,-81.94,37.35,2026-05-27,11.381739,70.756429
TEST_009556,vi,4G,Hyderabad,8.64,5.07,-85.45,36.05,2026-03-16,31.14594,69.489037
TEST_009557,airtel,4G,Kolkata,23.41,3.39,-95.24,48.73,2026-03-17,13.356974,88.875219
TEST_009558,airtel,5G,Chennai,68.75,18.58,-72.86,39.72,2026-05-05,12.564237,84.581139
TEST_009559,airtel,4G,Delhi,18.97,6.95,-71.77,40.03,2026-05-08,11.183254,71.936283
TEST_009560,airtel,5G,Chennai,35.79,24.32,-93.76,35.29,2026-03-30,30.739446,79.175057
TEST_009561,airtel,4G,Pune,29.83,5.99,-82.12,42.72,2026-03-19,20.683704,79.117207
TEST_009562,jio,5G,Lucknow,115.6,18.46,-74.26,38.37,2026-05-07,33.091261,83.533019
TEST_009563,airtel,5G,Kolkata,85.52,34.13,-100.09,58.86,2026-03-12,23.267893,91.905417
TEST_009564,vi,4G,Chennai,13.83,6.44,-72.93,65.38,2026-04-09,21.962122,93.148479
TEST_009565,airtel,4G,Mumbai,22.74,6.89,-96.61,57.38,2026-03-02,26.155251,89.36003
TEST_009566,airtel,4G,Kolkata,13.17,4.26,-93.29,47.93,2026-03-01,35.716036,83.533033
TEST_009567,vi,4G,Bangalore,12.95,3.61,-88.67,59.84,2026-03-13,14.03599,87.720527
TEST_009568,vi,4G,Kolkata,17.82,2.78,-71.11,58.84,2026-04-09,25.613943,91.961156
TEST_009569,vi,4G,Kolkata,7.47,3.24,-60.0,137.58,2026-03-03,15.672834,76.275793
TEST_009570,vi,5G,Pune,52.55,24.71,-104.61,56.11,2026-05-08,25.549946,76.306816
TEST_009571,vi,5G,Hyderabad,57.32,28.1,-76.34,43.86,2026-03-29,16.409019,94.097427
TEST_009572,jio,4G,Mumbai,12.92,10.79,-82.73,54.45,2026-05-15,20.644585,82.726718
TEST_009573,jio,4G,Lucknow,29.63,6.88,-71.94,36.72,2026-04-05,18.071652,69.713078
TEST_009574,vi,5G,Delhi,33.87,16.39,-81.13,35.12,2026-03-12,26.665365,73.547021
TEST_009575,jio,4G,Mumbai,29.55,4.82,-82.56,38.96,2026-04-26,29.729627,92.049867
TEST_009576,airtel,4G,Delhi,13.35,5.24,-84.98,39.9,2026-04-19,27.679557,70.975524
TEST_009577,vi,5G,Pune,85.45,17.18,-85.74,35.76,2026-04-22,16.702611,87.323387
TEST_009578,vi,4G,Bangalore,14.76,6.61,-70.32,41.89,2026-05-16,22.621795,71.541394
TEST_009579,vi,4G,Kolkata,17.53,7.54,-89.24,65.02,2026-05-05,10.956662,78.898554
TEST_009580,vi,4G,Pune,19.02,7.79,-63.21,36.95,2026-03-29,29.860752,75.123518
TEST_009581,jio,5G,Kolkata,54.85,12.52,-80.67,40.0,2026-04-17,20.31813,91.81794
TEST_009582,airtel,5G,Kolkata,67.48,16.18,-60.0,40.45,2026-03-22,10.322371,74.228294
TEST_009583,airtel,4G,Lucknow,18.97,7.22,-67.5,50.24,2026-05-23,35.021732,72.276087
TEST_009584,jio,5G,Lucknow,106.34,20.57,-73.28,37.61,2026-03-01,34.609411,95.119531
TEST_009585,vi,5G,Lucknow,66.03,13.26,-88.25,38.64,2026-03-15,21.357903,87.623274
TEST_009586,jio,4G,Chennai,31.52,7.44,-108.06,55.61,2026-03-09,20.288665,87.565157
TEST_009587,airtel,5G,Pune,89.54,21.76,-86.62,48.78,2026-04-01,30.897001,71.756891
TEST_009588,airtel,4G,Jaipur,33.91,9.93,-92.57,75.23,2026-04-14,22.380725,75.005343
TEST_009589,airtel,5G,Mumbai,49.86,13.66,-76.53,41.9,2026-03-06,29.812351,93.98961
TEST_009590,jio,4G,Ahmedabad,25.04,11.52,-80.5,49.87,2026-04-23,16.893635,94.919574
TEST_009591,vi,5G,Pune,78.33,17.87,-79.99,37.59,2026-03-13,27.056501,76.834765
TEST_009592,airtel,5G,Pune,58.22,20.94,-87.75,46.93,2026-03-13,17.384791,89.645658
TEST_009593,jio,4G,Delhi,22.64,13.02,-71.34,48.15,2026-03-18,9.091469,81.836171
TEST_009594,vi,4G,Delhi,25.66,5.96,-86.5,37.09,2026-05-28,17.452723,82.741067
TEST_009595,jio,5G,Lucknow,91.0,21.97,-85.77,67.22,2026-05-12,19.837342,85.672104
TEST_009596,airtel,4G,Bangalore,23.96,3.71,-83.35,35.6,2026-04-16,28.200257,77.49404
TEST_009597,airtel,5G,Hyderabad,52.62,14.85,-95.37,43.91,2026-03-11,17.7843,87.91978
TEST_009598,jio,5G,Chennai,54.71,28.44,-91.69,35.08,2026-05-17,30.346734,82.371411
TEST_009599,vi,4G,Kolkata,21.03,4.17,-84.23,52.97,2026-05-06,19.698157,82.111454
TEST_009600,vi,4G,Jaipur,20.16,5.24,-60.0,38.1,2026-03-02,30.935484,73.716325
TEST_009601,jio,5G,Bangalore,56.08,27.78,-96.96,39.42,2026-05-09,18.462092,71.661838
TEST_009602,vi,4G,Delhi,15.68,1.72,-76.66,77.06,2026-03-09,27.935073,74.131975
TEST_009603,vi,4G,Lucknow,14.56,7.45,-86.58,67.14,2026-03-02,23.822814,75.855917
TEST_009604,jio,5G,Mumbai,75.7,22.2,-60.0,41.26,2026-04-23,17.651467,76.659758
TEST_009605,vi,4G,Lucknow,6.37,4.81,-106.61,52.59,2026-03-14,32.967837,69.186669
TEST_009606,airtel,5G,Hyderabad,80.4,18.87,-77.76,60.64,2026-03-01,12.145563,77.854475
TEST_009607,airtel,4G,Jaipur,21.92,4.65,-82.64,53.77,2026-05-26,28.701353,90.424298
TEST_009608,vi,5G,Mumbai,65.62,31.06,-78.22,49.84,2026-05-18,9.576578,87.101489
TEST_009609,vi,4G,Ahmedabad,18.82,7.35,-101.03,66.77,2026-04-04,18.945492,79.058058
TEST_009610,vi,4G,Delhi,18.62,11.1,-74.73,35.88,2026-05-06,29.421193,89.514147
TEST_009611,airtel,4G,Pune,30.18,5.65,-66.17,77.43,2026-04-18,11.72629,84.429005
TEST_009612,jio,5G,Pune,83.71,28.47,-91.15,37.35,2026-05-29,13.427831,94.700272
TEST_009613,jio,5G,Ahmedabad,90.62,9.46,-79.94,44.0,2026-05-30,20.81543,73.186054
TEST_009614,vi,5G,Pune,54.41,20.15,-73.43,76.06,2026-05-26,30.080485,87.290226
TEST_009615,jio,5G,Lucknow,67.33,15.74,-77.02,56.15,2026-04-04,27.804846,85.710478
TEST_009616,vi,4G,Ahmedabad,14.31,6.78,-65.5,38.19,2026-05-25,25.822876,70.696098
TEST_009617,airtel,5G,Bangalore,75.32,15.15,-86.22,40.5,2026-03-21,30.257885,89.062818
TEST_009618,jio,5G,Ahmedabad,85.69,13.65,-88.94,39.83,2026-03-05,30.192503,90.529883
TEST_009619,airtel,5G,Ahmedabad,52.3,27.62,-72.41,36.5,2026-03-06,17.018982,72.565035
TEST_009620,vi,4G,Kolkata,15.55,10.25,-73.83,42.19,2026-05-09,28.79839,90.359265
TEST_009621,vi,5G,Jaipur,60.31,27.15,-83.44,35.73,2026-04-26,22.464657,84.568191
TEST_009622,jio,4G,Hyderabad,34.24,9.23,-85.88,39.92,2026-03-29,32.840099,71.161137
TEST_009623,jio,5G,Lucknow,99.43,14.34,-75.61,70.87,2026-03-08,20.270662,75.794642
TEST_009624,airtel,4G,Delhi,23.96,9.9,-75.59,56.83,2026-03-03,10.834508,75.741524
TEST_009625,vi,5G,Lucknow,39.06,15.39,-75.83,35.39,2026-03-28,23.458968,92.845983
TEST_009626,vi,4G,Bangalore,24.29,6.06,-89.43,39.44,2026-04-09,8.466218,78.931522
TEST_009627,airtel,5G,Kolkata,44.22,24.47,-91.15,41.38,2026-05-27,28.374445,90.271725
TEST_009628,jio,4G,Ahmedabad,26.48,7.76,-69.45,56.39,2026-04-22,26.569554,81.48261
TEST_009629,jio,4G,Chennai,33.17,9.85,-108.06,39.73,2026-05-04,26.503644,68.322269
TEST_009630,airtel,5G,Kolkata,82.68,29.59,-80.43,48.04,2026-04-09,19.109503,82.000302
TEST_009631,jio,4G,Chennai,23.17,6.72,-85.07,71.09,2026-03-06,32.227772,84.628258
TEST_009632,vi,5G,Kolkata,61.49,21.22,-109.25,39.68,2026-05-11,19.720586,81.640943
TEST_009633,jio,5G,Chennai,63.9,17.27,-82.52,72.73,2026-05-12,34.09485,84.041092
TEST_009634,vi,5G,Delhi,69.89,14.08,-97.41,47.24,2026-04-20,20.485644,69.908188
TEST_009635,vi,5G,Mumbai,46.88,22.21,-74.06,38.99,2026-03-16,10.594843,69.10974
TEST_009636,airtel,4G,Hyderabad,27.48,6.2,-73.49,39.7,2026-04-10,21.508248,79.139394
TEST_009637,jio,4G,Delhi,32.55,6.62,-70.8,42.7,2026-03-19,22.746847,77.700581
TEST_009638,vi,5G,Lucknow,48.2,16.01,-88.44,44.13,2026-04-17,8.652542,90.516131
TEST_009639,airtel,5G,Kolkata,73.94,20.62,-89.85,45.22,2026-03-10,17.642728,91.840496
TEST_009640,vi,4G,Pune,30.03,3.63,-93.48,55.67,2026-03-06,34.463116,78.482415
TEST_009641,jio,5G,Ahmedabad,102.74,7.68,-64.07,76.17,2026-04-17,20.146529,90.454473
TEST_009642,jio,4G,Bangalore,32.83,10.79,-92.92,40.18,2026-03-15,20.628047,83.138932
TEST_009643,vi,4G,Bangalore,23.2,4.15,-78.38,73.57,2026-05-12,27.614798,76.971831
TEST_009644,jio,4G,Ahmedabad,21.74,10.36,-103.35,36.45,2026-03-30,25.977941,87.84816
TEST_009645,vi,5G,Mumbai,40.89,17.73,-90.84,77.98,2026-03-24,8.134668,91.336503
TEST_009646,vi,5G,Bangalore,77.85,19.93,-101.0,52.29,2026-05-06,35.450557,73.412346
TEST_009647,jio,5G,Bangalore,86.6,18.65,-95.77,36.56,2026-05-01,33.66406,79.772428
TEST_009648,vi,5G,Ahmedabad,49.92,10.84,-102.55,35.31,2026-04-18,18.863096,83.268143
TEST_009649,jio,5G,Chennai,94.95,26.81,-90.74,38.02,2026-03-15,35.093074,76.21906
TEST_009650,jio,5G,Kolkata,69.83,15.15,-89.9,78.4,2026-05-23,35.356229,84.921053
TEST_009651,vi,4G,Jaipur,29.31,3.55,-88.57,46.52,2026-05-02,20.356613,81.33515
TEST_009652,airtel,5G,Kolkata,107.6,20.36,-100.73,71.89,2026-05-07,17.485332,88.994884
TEST_009653,airtel,5G,Jaipur,63.47,30.88,-91.82,103.38,2026-04-08,18.267229,89.720411
TEST_009654,jio,5G,Lucknow,67.64,44.65,-96.25,45.05,2026-03-18,20.556365,74.778133
TEST_009655,vi,4G,Pune,21.3,4.39,-91.0,49.13,2026-05-23,25.273825,83.665801
TEST_009656,jio,5G,Hyderabad,123.23,28.26,-88.81,57.69,2026-04-14,12.042918,86.676722
TEST_009657,jio,5G,Ahmedabad,95.8,35.42,-102.17,63.48,2026-03-14,10.421529,81.073784
TEST_009658,airtel,4G,Jaipur,26.04,3.9,-67.4,52.92,2026-04-03,35.828268,69.902871
TEST_009659,vi,5G,Kolkata,58.21,13.9,-73.42,53.28,2026-05-25,21.58619,76.416127
TEST_009660,jio,5G,Pune,61.53,41.86,-103.23,35.15,2026-05-24,28.189682,94.712539
TEST_009661,jio,4G,Mumbai,16.77,8.81,-80.6,38.75,2026-05-07,23.03269,91.871814
TEST_009662,airtel,5G,Bangalore,95.3,21.88,-88.22,39.94,2026-05-12,34.570769,95.121719
TEST_009663,vi,5G,Pune,59.6,23.09,-86.85,50.94,2026-04-26,26.693298,89.916836
TEST_009664,jio,5G,Bangalore,81.07,8.01,-91.86,49.32,2026-05-27,27.681329,86.611012
TEST_009665,airtel,5G,Hyderabad,95.38,21.05,-105.57,35.37,2026-04-21,12.912405,91.041919
TEST_009666,jio,5G,Pune,67.51,16.48,-67.79,36.26,2026-04-22,17.252862,82.875595
TEST_009667,airtel,4G,Pune,27.38,8.73,-78.67,51.93,2026-04-14,14.516064,71.713897
TEST_009668,jio,4G,Kolkata,20.02,11.31,-69.54,37.83,2026-05-06,11.509993,85.24115
TEST_009669,vi,4G,Ahmedabad,20.05,8.83,-91.06,46.41,2026-05-08,28.964535,88.49275
TEST_009670,airtel,5G,Jaipur,48.88,28.72,-90.66,35.27,2026-03-14,33.780326,75.097011
TEST_009671,jio,4G,Pune,22.1,6.29,-98.85,39.14,2026-05-03,8.394143,89.455087
TEST_009672,vi,4G,Hyderabad,21.49,7.39,-82.17,46.03,2026-05-18,19.613915,69.035831
TEST_009673,airtel,4G,Hyderabad,18.69,7.83,-92.26,36.35,2026-03-24,18.854426,70.179711
TEST_009674,airtel,5G,Bangalore,67.77,20.05,-83.09,42.95,2026-04-17,17.375752,87.271824
TEST_009675,airtel,5G,Lucknow,82.92,18.6,-77.98,75.13,2026-05-11,20.665453,90.229622
TEST_009676,airtel,4G,Chennai,25.6,10.79,-78.14,67.72,2026-04-18,23.203932,71.908065
TEST_009677,jio,5G,Bangalore,114.69,21.6,-79.07,39.11,2026-03-16,10.311174,86.270277
TEST_009678,jio,4G,Jaipur,23.8,7.87,-72.15,62.52,2026-03-19,10.303384,75.784613
TEST_009679,jio,4G,Jaipur,19.53,8.87,-85.28,67.75,2026-05-08,15.112434,95.265259
TEST_009680,airtel,5G,Hyderabad,79.85,21.93,-82.14,41.33,2026-04-27,27.164293,74.904781
TEST_009681,jio,4G,Chennai,16.54,10.1,-88.01,48.3,2026-03-30,32.736538,69.912168
TEST_009682,vi,4G,Bangalore,22.13,8.06,-67.55,87.97,2026-05-10,30.176429,85.76824
TEST_009683,airtel,5G,Pune,78.25,13.72,-85.57,35.68,2026-05-19,22.490857,78.033172
TEST_009684,vi,4G,Jaipur,14.21,3.88,-89.07,36.31,2026-05-07,15.603087,84.811841
TEST_009685,jio,4G,Ahmedabad,21.58,5.42,-84.18,55.37,2026-05-13,35.453894,80.688359
TEST_009686,vi,5G,Hyderabad,82.11,11.55,-86.67,67.61,2026-04-12,19.955766,81.27721
TEST_009687,airtel,4G,Chennai,19.79,3.66,-76.37,77.33,2026-05-20,12.021797,93.613429
TEST_009688,vi,5G,Pune,72.44,22.55,-81.77,40.07,2026-04-14,23.791002,95.368586
TEST_009689,vi,4G,Mumbai,20.09,8.07,-81.62,37.99,2026-04-18,19.178506,90.772919
TEST_009690,airtel,5G,Lucknow,68.44,20.1,-80.5,37.46,2026-05-07,13.556225,69.530394
TEST_009691,jio,5G,Pune,95.14,31.72,-67.59,39.85,2026-04-07,19.353517,95.573629
TEST_009692,vi,5G,Jaipur,46.64,13.62,-95.82,39.89,2026-03-23,35.606691,75.501568
TEST_009693,airtel,4G,Kolkata,29.6,6.63,-65.37,77.95,2026-03-11,11.984654,82.837832
TEST_009694,jio,4G,Kolkata,32.6,5.13,-98.03,62.94,2026-05-14,34.511749,80.838894
TEST_009695,jio,4G,Lucknow,16.44,6.35,-73.5,36.27,2026-05-15,22.438841,87.192153
TEST_009696,jio,4G,Bangalore,34.51,6.33,-81.45,68.08,2026-03-24,34.811807,70.071643
TEST_009697,jio,5G,Delhi,67.51,27.04,-87.89,35.79,2026-03-11,13.885948,82.269587
TEST_009698,airtel,5G,Mumbai,99.66,26.15,-101.79,73.8,2026-03-14,28.022245,86.738029
TEST_009699,jio,5G,Bangalore,78.35,25.32,-89.41,42.0,2026-03-02,8.034233,83.047904
TEST_009700,airtel,5G,Ahmedabad,121.06,7.61,-102.13,52.08,2026-04-17,10.164611,69.510439
TEST_009701,jio,4G,Mumbai,26.25,14.56,-101.85,39.82,2026-03-21,34.991498,80.065524
TEST_009702,jio,5G,Ahmedabad,107.63,46.35,-69.31,82.53,2026-04-29,22.265363,76.03416
TEST_009703,airtel,5G,Bangalore,45.78,31.85,-85.58,39.27,2026-04-02,32.658349,76.668153
TEST_009704,vi,4G,Kolkata,21.8,8.23,-75.37,38.99,2026-03-10,29.740501,90.877129
TEST_009705,jio,4G,Chennai,27.14,6.32,-87.65,54.43,2026-03-30,23.253248,86.592302
TEST_009706,airtel,4G,Hyderabad,19.97,9.36,-68.57,36.18,2026-04-27,28.027014,94.839539
TEST_009707,jio,4G,Ahmedabad,15.73,5.8,-101.97,45.97,2026-04-15,23.34348,83.065732
TEST_009708,vi,5G,Delhi,33.7,17.37,-75.57,35.41,2026-04-05,29.337479,84.8704
TEST_009709,airtel,4G,Lucknow,22.5,9.17,-67.08,73.74,2026-03-18,15.600189,70.608879
TEST_009710,vi,4G,Bangalore,24.89,8.67,-94.13,48.59,2026-03-20,17.959971,95.452415
TEST_009711,vi,4G,Jaipur,22.77,1.09,-74.66,36.24,2026-05-18,12.715242,73.768073
TEST_009712,vi,4G,Ahmedabad,12.43,4.25,-80.37,38.94,2026-04-04,11.109899,93.847773
TEST_009713,airtel,4G,Hyderabad,23.36,8.45,-80.9,37.33,2026-05-24,19.551764,93.28402
TEST_009714,airtel,4G,Ahmedabad,25.57,8.09,-87.83,40.25,2026-04-08,15.102419,87.960584
TEST_009715,airtel,5G,Hyderabad,69.54,30.49,-93.1,59.53,2026-04-11,26.314418,94.985471
TEST_009716,jio,4G,Delhi,36.68,5.67,-87.79,86.31,2026-03-15,18.468182,89.132475
TEST_009717,vi,5G,Pune,44.06,15.9,-98.52,58.45,2026-03-27,11.279257,69.16179
TEST_009718,jio,5G,Kolkata,114.45,35.9,-80.04,35.24,2026-04-07,16.884209,88.305788
TEST_009719,jio,5G,Pune,92.47,10.18,-75.77,35.78,2026-04-24,22.792995,78.393094
TEST_009720,vi,4G,Chennai,27.85,4.12,-82.54,64.15,2026-03-02,30.408852,68.40776
TEST_009721,vi,5G,Hyderabad,72.8,16.56,-89.19,87.75,2026-05-04,27.936449,71.786755
TEST_009722,vi,4G,Chennai,16.46,6.75,-103.06,44.48,2026-05-28,30.480588,77.799236
TEST_009723,airtel,4G,Bangalore,30.75,7.88,-77.26,39.09,2026-05-17,12.329194,76.559478
TEST_009724,vi,4G,Delhi,11.8,4.19,-85.64,80.15,2026-03-23,14.589283,89.874877
TEST_009725,vi,4G,Bangalore,26.2,5.05,-78.04,58.12,2026-05-02,14.983698,95.324048
TEST_009726,vi,5G,Kolkata,29.72,18.22,-81.98,44.92,2026-03-06,18.60527,85.499714
TEST_009727,vi,4G,Hyderabad,17.61,5.66,-63.42,41.97,2026-05-27,25.659786,83.769598
TEST_009728,vi,5G,Pune,68.18,20.09,-87.12,45.64,2026-03-29,28.863348,95.860857
TEST_009729,airtel,5G,Chennai,67.3,28.94,-93.17,36.83,2026-03-19,13.289381,77.332687
TEST_009730,jio,4G,Mumbai,28.68,10.98,-96.47,38.03,2026-03-10,32.137191,92.71478
TEST_009731,airtel,4G,Jaipur,13.46,8.79,-96.66,42.07,2026-05-27,9.23628,68.115471
TEST_009732,jio,4G,Jaipur,26.11,12.73,-85.04,56.19,2026-03-17,35.668017,78.050441
TEST_009733,vi,4G,Bangalore,11.67,7.77,-101.09,38.33,2026-03-06,23.170182,74.581031
TEST_009734,airtel,4G,Hyderabad,19.65,5.05,-68.36,44.24,2026-05-07,23.994926,68.848964
TEST_009735,airtel,4G,Pune,18.12,7.46,-93.2,44.5,2026-04-27,11.263011,91.777072
TEST_009736,airtel,5G,Delhi,98.86,18.1,-90.7,74.73,2026-05-08,13.077839,90.647753
TEST_009737,vi,4G,Hyderabad,7.09,5.9,-84.59,47.95,2026-03-16,33.327713,73.36071
TEST_009738,airtel,5G,Mumbai,76.98,9.02,-85.32,36.11,2026-04-11,9.632071,79.280942
TEST_009739,vi,5G,Jaipur,90.58,15.65,-84.67,41.43,2026-04-29,28.07518,89.807566
TEST_009740,airtel,4G,Bangalore,36.47,6.3,-99.44,75.37,2026-03-16,19.892083,74.681484
TEST_009741,jio,4G,Hyderabad,25.16,4.79,-71.83,85.69,2026-05-28,16.55044,92.371637
TEST_009742,airtel,4G,Mumbai,26.99,11.11,-92.15,47.44,2026-03-17,28.775759,89.968669
TEST_009743,vi,5G,Mumbai,47.64,23.0,-90.93,36.54,2026-03-20,31.640774,75.710769
TEST_009744,vi,5G,Delhi,44.03,22.82,-90.9,50.07,2026-05-17,30.782015,89.781934
TEST_009745,airtel,5G,Hyderabad,113.83,27.9,-90.99,35.62,2026-04-18,23.032075,78.609108
TEST_009746,vi,5G,Pune,76.27,20.84,-98.41,40.03,2026-04-22,25.192726,94.261708
TEST_009747,jio,5G,Kolkata,98.54,9.53,-82.84,35.07,2026-03-02,8.485699,94.167365
TEST_009748,vi,4G,Mumbai,26.41,5.38,-67.23,40.03,2026-03-28,29.281174,94.970625
TEST_009749,jio,5G,Kolkata,83.27,31.18,-76.13,70.83,2026-05-05,15.594185,88.486571
TEST_009750,airtel,4G,Mumbai,19.86,5.17,-120.0,39.46,2026-05-04,30.728408,73.333364
TEST_009751,jio,5G,Bangalore,63.43,13.62,-71.26,41.84,2026-05-24,27.183166,87.314525
